albanian_title,english_title
de,de
Praktikant - Departamenti Ligjor,Intern - Legal Department
Bankier,BANKER
Vozites Paketues,Packer Driver
Ekonomist - menaxher rrjete sociale,Economist - social network manager
Asistente dentare- infermiere,Dental assistant - nurse
Administratore e shitjes,Sales administrator
Asistent ne montimin e kuzhinave,Assistant in the assembly of kitchens
MENAXHIMI I RRJETEVE SOCIALE,MANAGEMENT OF SOCIAL NETWORKS
Ndihmes i Mjekut Gjinekolog,Assistant Gynecologist
Vend pune si shites i derivateve,Workplace as a salesman of derivatives
• Recepsioniste,• Receptionist
Zyrtare e Administrates(Praktikant),Administration Officer (Intern)
Baxhelor i Ndertimtarise,Bachelor of Construction
Teknik i Gjeodezise,Geodesy technician
Bachelor i Ndertimtarise,Bachelor of Construction
shitjen e vetuar dhe mirmbajtjen,own sale and maintenance
Konkurs per Infermiere,Competition for Nurses
Inxhinjer,Engineer
Inxhinier i prodhimit,Production engineer
Pune per menaxhim te depos,Work for warehouse management
Editor,Editor
Social media Management,Social media management
Ndihmes arkitekti,Assistant architect
Kamarier / Kamariere,Waiter / Waitress
Sektorist/Depoist,Sectorist/Depotist
Distributor ne teren- Gjilan,Distributor in the field - Gjilan
ndihmes shites ne market,sales assistant in the market
Ndihmes Kontabiliteti,Accounting Assistant
TROPIKAL NPT,TROPICAL NPT
Recepsionist ne administrate,Receptionist in the administration
Zyrtar Teknik i 3D-se,3D Technical Officer
Asistent Kontabilitetit,Accounting Assistant
Asistente e Kontabiliteit,Accounting Assistant
PUNTOR FIZIK,PHYSICAL WORKER
Rekrutues,crimp
Asistent Finaciare,Financial Assistant
Kalkulant i cmimeve,Price calculator
SHITES NE DYQAN,SELLER IN THE STORE
Shites ne Librari ?,Sold in the bookstore?
Shites per automjete,Sales for vehicles
Sporteliste,teller
GIPSER / FASADER,GYPSUM / FACADE
FASADER / GIPSER,FACADE / PLASTER
Kordinator i transportit,Transport coordinator
FIZIOTERAPEUTE,physiotherapists
puntor shites,worker for sale
Asistent ne gjeodezi,Assistant in geodesy
Mesimdhenes i gjuhes gjermane,Intermediate German language
Depo,storehouse
Teknik i shitjes,Sales technician
Shofer i motocikletes,Motorcycle driver
Market Leoni Kas SH.P.K,Market Leoni Kas SH.P.K
Kerkohen Arkatare dhe Sektoriste,Cashiers and Sectarians are wanted
Shitese - Rrobaqepese,Saleswoman - Tailor
Teknik i Pajisjeve Mjekesore,Medical Equipment Technician
Teknik i laboratorit,Laboratory technician
Zyrtare i Kolektimeve,Collections Officer
Admsitrator i pergjithshem,General administrator
Punetor per rregullimin e llamaines dhe metaleve,Sheet metal and metal repair worker
Aisistente e Shitjes,Sales Assistant
N SHPI Coffee SH.P.K.,N SHPI Coffee Sh.P.K.
Punetore per Laborator,Laboratory worker
Punetor n emobileri,Furniture worker
Shitje online dhe dizajn grafik,Online sales and graphic design
Shitese ne Arke,Cashier at Arke
Inxhiniere,Engineering
Rrobaqespse Punedore Cendistare,Centistar Workwear
Zyrtar ne prokurim,Procurement officer
Adminstrate,Administrators
Puntor ne atministrate,Worker in administration
teknik laboratori,laboratory technician
SALDUES,welders
Patroniste 1,Patronist 1
Pune admiistrative,Administrative work
Punetor per sitem IT,IT system worker
Instalime termoenergjitike,Thermoenergetic installations
Qendistare 9,Embroiderer 9
Patroniste 2,Patronist 2
MONDA 2024,MONDA 2024
Shites te arke,Cash register seller
Shitese ne silverpolopianoparfum,Seller at silverpolopianoparfum
Grimere & Floketare,Makeup & Hairdressing
MENAXHER I BIZNESIT,BUSINESS MANAGER
PUNETOR PRODHIMI,PRODUCTION WORKER
Inxhinjer i ndertimtaris-konstruktiv/Arkiteket,Construction engineer/Architect
Dekoriste,Decorative
Zyrtar per adiministrate,Administrative officer
Asistent per komunikim dhe kliente,Assistant for communication and clients
Pergjegjes Nderrimi,Responsible Exchange
Arketare/Sektoriste,Treasurer/Sectorist
Zyrtar per regjistrim dhe mirembajtje te IT,IT Registration and Maintenance Officer
Ndihmese e pastiqeres,Pastry assistant
Mirembajtes i Pishave,Keepers of the Pines
Kerkojme shankiste.,We are looking for waiters.
Kuzhiner-e,Cook
Punonjes ne Administrate,Employees in Administration
Assistent i burimeve njerezore,Human resources assistant
ASISTENTE NE ADMINISTRATE,ADMINISTRATIVE ASSISTANT
shites ne lokal,sold locally
Punetor per mirembajtje,Maintenance worker
Asistent i Financave,Finance Assistant
Ndihmes farmaciste,Pharmacist assistant
Ndimes i farmacise,Through the pharmacy
Asistente Stomaotlogjike,Stomatological Assistant
ndihmes kuzhinjeri,assistant cook
Hoffman Stores SHPK,Hoffman Stores LLC
Asistente per BNJ,Assistant for HR
NDIHMES NE MOBILERI,HELP WITH FURNITURE
Shitje online - menaxhim i porosive,Online sales - order management
Pranues i mallit,Receiver of the goods
Rrobaqepese 12,Dressmaker 12
Asistente e Doktorit,Doctor's Assistant
Mesimdhenese per klasat 1-5,Middle school for grades 1-5
Kamarier/kamariere,Waiter/waitress
Asistent i Prokurimit,Procurement Assistant
Asistent infermieri,Nursing assistant
Shites ne cajtore dhe shankist,For sale in cajtore and shankist
menaxher biznesi,business manager
Punetor ne prodhim dhe perpunim metalik,Worker in metal production and processing
Monter ne fabrike,Factory fitter
Inkasant dhe Vozites Kamioni,Collector and Truck Driver
Teknike te Farmacise,Pharmacy technique
Kerkojme nje person te motivuar dhe komunikues per pozicionin Perfaqesues Sherbimi per Kliente - per te ofruar mbeshtetje profesionale dhe trajtim te shpejte te kerkesave dhe ankesave te klienteve.,We are looking for a motivated and communicative person for the position of Customer Service Representative - to provide professional support and quick handling of customer requests and complaints.
Punetor - shites,Worker - salesman
LIRIDONI,LIRIDONE
Administrator i rrjeteve sociale,Social network administrator
Shites_e,Seller_e
Asistene ne sallonin e bukurise,Assistant in the beauty salon
SHPALLJE PUNE,JOB ADVERTISEMENT
Agjent i makinave me qira,Car rental agent
Ljatif Kalajdžini B.I.,Ljatif Kalajdžini B.I.
Ndihmes meaueses,Useful help
Praktikan-Kontabilist,Intern-Accountant
Pizzaman shankist kamarier,Pizzaman shankist waiter
Grimere - Frizere praktikante ..,Make-up artist - Hairdresser trainee ..
Ndihmes i mjeshterit,Master's assistant
Teknik instalues ne Teren (Praktikant ose me Pervoje),Field installation technician (Trainee or with experience)
Zyrtar Administrativ dhe Financiar,Administrative and Financial Officer
Teknik i IT-se,IT technician
Zyrtar per Kontrata dhe Sherbime ndaj Klienteve,Contracts and Customer Services Officer
Puntore ne rent a car,Worker in rent a car
Teknik Medicional,Medical Technician
Punetor Adeministrativ,Administrative Worker
Menaxhere e rezervimeve,Reservations Manager
Punetore ne Pastrim Kimik,Chemical Cleaning Worker
ndihmes mjeshter,assistant master
Sociologe,Sociologist
Agjent Thirrjesh,Call Agent
Vozites/Shofer,Driver/Driver
Punetor ne Garazhd,Garage worker
Praktikant i Arkitektures,Architecture Intern
Banakere,Bartender
Mesimdhenes per Gjuhe angleze dhe mesimdhenes per informatike,English language teacher and informatics teacher
NDIHMES TEKNIKU TE DDD,WITH THE TECHNICIAN HELP OF DDD
Punonjes ne administrate,Employees in the administration
Arkatare - Sektoriste - Punetore ne Butik,Cashier - Clerk - Boutique worker
Asistente e Edukatoreve,Assistant of Educators
Ndihms Kuzhine,Kitchen helper
Analist kreditor,Credit analyst
Logjistik dhe kordinim te puneve,Logistics and coordination of works
Lojtar i fudbollit,Football player
Lojtar - fudbollist,Player - soccer player
Montera per Klima,Air conditioners
Hoffman Stores Shpk,Hoffman Stores Ltd
Shites i karburanteve,Fuel seller
Asistant,Assistant
Tek Farmacise,At the pharmacy
MENAGJER,Manager
NDIHMES KUZHINE,KITCHEN HELP
Mesimdhenese e gjuhes angleze,Intermediate English language
Punime suvatimi,Plastering works
Montues teknik,Technical assembler
Dizajner Grafike,Graphic Designer
Laburante,Laboratory
ASISTENTE,ASSISTANT
Agjent Dogaor,Customs Agent
Ligjerues per Gjuhes Angleze,English Language Instructor
Ndimes Mekanik,Mechanical parts
ASISTENT I SHITJES DHE SHPERNDARJES,SALES AND DISTRIBUTION ASSISTANT
Shites -,for sale -
Estetiste per thonje,Esthetician for nails
Koordinator i Aktiviteve,Activities Coordinator
Shofer per vozitje te kamionit,Truck driver
Koordinues Logjistike dhe Furnizime,Logistics and Supply Coordinator
Punetore per pagesat e Ria dhe Ipkos,Worker for the payments of Ria and Ipko
Mjeshter per dyer dhe dritare,Master for doors and windows
Punetore/Administriat,Workshop/Administration
puntore ne sallon ondulimi,work in the curling salon
shitese/ asistente,salesperson/ assistant
recepcioniste,reception-
Ndihmese Banakiere,Bartender Assistant
puntor i thjesht,simple worker
Fudbollist,Footballer
Programere,Programmers
MEKANIK,MECHANICAL
Ndihmes ne sherbimet e kontabilitetit,Help in accounting services
Asistente e zyres,Office assistant
Resepcisonis,Receptionist
Punetor per autorlarje,Car wash worker
Kerkes Per Puntor,Looking for a worker
PERKTHYESE ANGLISHT-SHQIP,ENGLISH-ALBANIAN TRANSLATOR
Punetore per pastrimin e objektit-zyreve,Workshop for cleaning the building-offices
Puntor Sherbyes ne Restaurant,Restaurant Waiter
Mesimdhenese per parshkollore,Preschool teacher
CG-Grafike,CG-Graphics
Ekspert / Trajner per Rrobaqepesi - Dizajnim te Rrobave te Vjetra dhe Qendisje,Expert / Trainer for Tailoring - Designing Old Clothes and Embroidery
Inferkiere,Nurse
Mirmbajtes per kamera te siguris dhe alarmi,Maintenance for security cameras and alarms
Kerkohet staf per pastrim baze/ gjeneral (Deep Cleaning),Staff required for basic/general cleaning (Deep Cleaning)
Zyrtare per Administrat!,Official for Administration!
Video Editor (m/f/d),Video Editor (m/f/d)
Montus i Roletave,Montus of Roulettes
TALK POINT L.L.C.,TALK POINT L.L.C.
Inxhinier i ri teknik,Junior technical engineer
Kordinarore e departamentiti te montimit,Coordinator of the assembly department
TEKNIK I FARMACISE,PHARMACY TECHNICIAN
Punonjes ne Sallon Bukurie,Beauty salon employee
Asistente Ne Sherbim Studentor,Student Service Assistant
Mirembates i higjenes te administrates,Improving the hygiene of the administration
Punetor (Sanitari - Elektrik & Vegla Pune),Worker (Sanitary - Electrical & Tools)
Asistent ligjeruese,Legislative assistant
Informata rreth punes,Information about work
Punetor ne lidhje me punet e plastikes,Worker related to plastic work
Edukatore/Ndihmese Edukatore,Educator/Educator's Assistant
Delivery per Ushqime,Food delivery
Punetor ne depo,Warehouse worker
Trajner per Teknologji - Programim - Gushte,Trainer for Technology - Programming - August
Asistente per Praktika Klinike,Assistant for Clinical Practice
ARGJIL PUNUES LLESHI,WOOL WORKING CLAY
Moler / Fasader,Painter / Facader
inxhinjeri dhe ndertimtari,engineer and builder
Shitese/shites,Seller/seller
Asistent e punes terapeutike,Therapeutic work assistant
punues druri,wood worker
Kujdestare femijesh,Babysitter
Shitese & Asistenc Online ne Kubik Electronics,Sales & Online Assistance at Kubik Electronics
Mirembajtese/Pastruese,Maintenance/Cleaning
Construction Auditor,Construction Auditor
Punonjes Kontabilist dhe Menagjim Financa,Accountant and Finance Management Employee
Punetore - Frizerke,Worker - Hairdresser
Punetore ne kuzhine,Kitchen worker
Pune praktike ne Administrat,Practical work in Administration
Asistente dentare /Infermiere,Dental Assistant / Nurse
Teknike e Farmacise per Depo,Pharmacy Technician for Warehouse
Asistent ne Shitje,Assistant in Sales
Asistent ne Depo,Assistant in the Depot
Shofer Tereni,Off-road driver
Shites ne dyqan ushqimor,Sold in a grocery store
Teknik i Printit,Print Technician
Mbushja dhe mirembajtja e aparateve Vending,Filling and maintenance of Vending machines
Asistent Arkitekt,Assistant Architect
Kamereir,Waiter
Agjent Doganore,Customs Agent
Ndimes Asistent,Part time Assistant
Milenium SHPK,Millennium LLC
Infermier i,Nurse i
Menaxhere e mediave sociale dhe e biblotekes,Social media and library manager
Shites i Librave,Bookseller
Liferues / Transporter,Delivery / Transporter
Punetor i Shitjes,Sales Worker
Mnter,Manter
Ndihmes montues,Assembly assistant
Merchendaiser,Merchandiser
zyrtar ligjor,legal officer
Punetore ne instalimin e ngrohjes,Heating installation worker
PUNETOR NDERTIMI,CONSTRUCTION WORKER
Estetiste per rregullimin e qerpikeve,Esthetician for fixing eyelashes
Social media content creator,Social media content creator
Ndihmese ne mirembajtje trupore,Help in body maintenance
Infermiere per estetike,Nurse for aesthetics
Video Editor Kameraman,Video Editor Cameraman
Mbajtes Statistikave dhe menagjim i rrjetev sociale,Statistics keeper and social network management
asistent ne punen me fasada,assistant in facade work
Menaxher i shitjes dhe showroom-it,Sales and showroom manager
Mirmbajtes te fermes,Farm maintenance
Vendi punes -administrata,Workplace - administration
Asistente ose moter medicinale,Medical assistant or nurse
Kerkoj Puntor per aparatave kunder zjarrit,I am looking for a contractor for fire protection devices
Administratore ne zyre,Administrator in the office
Red Bee Agency L.L.C,Red Bee Agency L.L.C
Ndihmes Kizhine,Kitchen helper
Shitje -,Sales -
Ndihmes Kuzhin,Kitchen helper
Teknik kontabilist,Accounting technician
Ndihmes bagerist,Assistant excavator
Multitech kerkon 1 Ndihmes per Instalimin e Kompjutereve,Multitech is looking for 1 Computer Installation Assistant
Asistene ne zyre,Office assistant
Ndimes Arkatar,Ndime Arkatar
Content writer,Content writer
Konkurs per gazetare/praktikante,Competition for journalists/interns
Ndihmes ne punet e suvatimit,Help in plastering works
Asistent Perkthimesh,Translation Assistant
EDUKATORE NE KOPSHT TE FEMIJEVE,EDUCATOR IN KINDERGARTEN
Pune ne Administrate - Kalkulime - Faturime,Work in Administration - Calculations - Billing
Doktoresh,Doctors
pergjegjes i zyres,in charge of the office
Ndihmese e doktoreshes,Doctor's assistant
Zhvillues,Developer
Recruiter,Recruiter
Keshilltar per shitje te veturave te reja,Advisor for the sale of new cars
Mekatronik,Mechatronics
Kamarier/Shangist/Ndihmes Kuzhinier,Waiter/Shangist/Assistant Cook
Asistente per femije me nevoja te vecanta,Assistant for children with special needs
Ndihmes Automekanik,Automechanic Assistant
Montim dhe prodhim,Assembly and production
N.P.T DONA PLAST,N.P.T DONA PLAST
INFERMIERE E PERGJITHSHME,GENERAL NURSE
Asistente e shitjes +Kamarier,Sales assistant + Waiter
PALIMI I LETRES,PAPER PAPER
Ofert pune,Job offer
Renditja e letrave ne shtypshkronje,Sorting letters in the printing press
Asistente e Stomatologjis,Dentistry Assistant
Ligjerues ne Programim,Lecturer in Programming
Kamarier ne restorantin e hoteli,Waiter in the hotel restaurant
instalues uji,water installer
dizajn grafik,graphic design
Mekanik Servisim i Makineris se Rende- Kamion - Eskavator - Kamioneta,Heavy Machinery Servicing Mechanic - Truck - Excavator - Van
Agjent i shitje,Sales agent
TEKNIK I REKLAMAVE NDRIQUESE,LIGHTING ADVERTISING TECHNICIAN
Mundesi punesimi: Kontabilist,Job opportunity: Accountant
Infermer,Nurse
Punetor shitje,Sales worker
Arkatere,Arkatere
Logjistike dhe Furnizim,Logistics and Supply
Job Information,Job Information
Kerkojme shitese,We are looking for a saleswoman
Asistente ne qender estetike,Assistant in the aesthetic center
Ndihmes Puntor,Worker's Assistant
Ndihmes ne teren,Help in the field
Montues Pllakash,Tile installer
Mirembajtes - ndihmes,Maintenance - help
Mesimdhenese e muzikes,Music teacher
Konobar,Waiter
Pergjegjes Hixhene,Responsible Hixhene
Asiste per femije me aftesi te kufizuara ne Bardha Akademi,Assistance for children with limited abilities at Bardha Akademi
Rrjete sociale,Social networks
Pozitat e hapura Shtator/Tetor 2025,Positions open September/October 2025
Mesimdhense Klasore 4,4th Grade High School
Edukate Fizike 5,Physical Education 5
Gjeografi,Geography
Edukate Fizike 4,Physical Education 4
Art,Art
Klasore 1,Grade 1
Klasore 3,Grade 3
Puntore ne Administrat,Office in Administration
Staff Peje,Staff Peje
Aplikues I sherbimeve,Service applicant
SHANKIS BANAKIER,SHANKIS BARTENDER
AUTO LARJE LEONI 2024 SH.P.K.,CAR WASH LEONI 2024 SH.P.K.
frizerka,hairdresser
Zyrtar i ri Ligjor,New Legal Officer
Ndihmese e edukatoreve,Educators' assistant
Puntore Administratore,Administrative office
VoIP Support Agent,VoIP Support Agent
Asistente Stomatolgjike,Dental Assistant
Punonjes ne Fabrik,Factory worker
Trajnere,trainer
Redaktor,Editor
Eco Produkt xher sh.p.k.,Eco Produkt xer sh.p.k.
Asistent Profesional – Arkitekture dhe Vleresime,Professional Assistant – Architecture and Appraisals
kuzhinjere,cook
Konduktor,check-taker
Asistente stomatologjis,Dental assistant
infermier te pergjithshme te licencuara,licensed general nurses
Kerkojm Kamarie/re me Pervoj Pune,We are looking for a maid with work experience
Teknik i Instalimeve Elektrike dhe Sistemeve te Sigurise,Technician of Electrical Installations and Security Systems
Asistent Mjeksor,Medical Assistant
Punor,Worker
Sektorist Vipros Market - Prishtine - Bregu i Diellit,Sectorist Vipros Market - Prishtina - Sunny Beach
NDIHMES I FARMACISE,WITH THE HELP OF THE PHARMACY
Ndihmes i transportuesit,Transporter's assistant
Kerkojme kamarier.,We are looking for a waiter.
Assistente e Mjekut,Physician Assistant
Kalkulim ne financa,Calculation in finance
Mobileria Graniti,Furniture Granite
Mesuse,Mesuse
Instalues Per Hidro dhe Ngrohje,Installer for hydro and heating
Mirembajtese-Hixheniste,Maintenance-Hygiene
Asistente e Stomatologut (Infermiere),Dental Assistant (Nurse)
Shitese ne dyqan te luleve,Saleswoman in a flower shop
Adminstrator/re,Administrator/re
Mesimdhenes,Mediterranean
Mirembajtes e aparatave,Appliance maintenance
Asitente e shitjes,Sales assistant
Edukatore/Psikologe,Educator/Psychologist
Kimi,chemistry
Zyrtar i financave,Finance Officer
Ndihmes ne Kuzhin,Kitchen helper
Konkurs pune - Shitese,Job competition - Salesperson
Konkurs pune-shitese,Sales job competition
LLAMARINEPUNUES,SHEET METAL WORKER
Monter Elektricist,Fitter Electrician
Work space,Work space
GLOB AUDIT,GLOBAL AUDIT
Shiese ne lokal,Saleswoman in the bar
Praktikant per hulumtime dhe analize te te dhenave,Intern for research and data analysis
Teknik Per Rrjete,Network Technician
asistent administartiv,administrative assistant
Shitese ne Furre Buke,Saleswoman at the Bakery
Asistent e Fotografit,Photographer's Assistant
Shofer i Logjistikes,Logistics Driver
Punetor per teknologji informative,Information technology worker
Mirembajtje i Mjedisit,Environmental Maintenance
Shites i veturave,Car seller
Punetor ne Prodhim ne Mobileri,Furniture Production Worker
Agjente Shitjes ne Kubik Electronics,Sales agent at Kubik Electronics
Punetore per butik,Worker for boutique
Dizajner enterieri,Interior designer
Punetore ne Mini Market,Mini Market worker
STAFF PRIZREN,STAFF PRIZREN
Behim Beciri B.I.,Behim Beciri B.I.
agjent i shitjes,sales agent
Agjent e Shitjes,Sales Agent
Teknik i Infermierise,Nursing Technician
Punetor per servis,Service worker
Puntor ndihms,Assistant worker
kamarijere,waitress
Asistent Fitnesi,Fitness Assistant
kontabilist,accountant
Mirembajtes i fidaneve te mbjellura,Maintenance of planted seedlings
Teknine e farmacise,Pharmacy technician
Trajner per kurse kodimi dhe programimi (lokacionet Dardani & Aktash(,Trainer for coding and programming courses (Dardani & Aktash locations)
ndihmes limari,tinsmith's assistant
PAKETUES SHEQERIT,SUGAR PACKERS
ndimes frizer,hairdresser
Konkurs Pune per Punonjes ne Auto Color Elita,Job competition for employment at Auto Color Elita
Sekretar Teknik,Technical Secretary
Shitese - Kline,Saleswoman - Kline
Serviser i printerave,Printer repairer
Organizator artistik,Artistic organizer
Informata rreth punes Eiscafe Valentina,Information about the Eiscafe Valentina job
Assitentet- sporteliste,Assistants - sportsmen
Menaxher Projekteve,Project Manager
Kamarjer ne pizzerin RENT A CAR CELI SH.P.K. sektori i pizzeris,Waiter at the pizzeria RENT A CAR CELI SH.P.K. pizzeria sector
make up artist,make up artist
Asistent-e,Assistant
Monter kuzhina,Kitchen fitter
Show Presenter / Show Host,Show Presenter / Show Host
Psikologe- praktikante,Psychologist-practitioner
Mjeshter per knauf,Master for knauf
Zyrtar brenda zyres Noteriale,Official within the Notary office
arkatare,cashier
Montera,Mounted
Asistente per nevoja 1,Assistant for needs 1
Puntor per instalime elektrike - ngrohjes,Worker for electrical installations - heating
Asistente per nevoja 2,Assistant for needs 2
Asistente dentare / infermiere,Dental assistant / nurse
Data Analist,Data Analyst
Montazhier,video editor
Punetor vozites,Driver worker
NDIHMESE E FARMACISE,PHARMACY ASSISTANT
Punetore Pompe,Pump workshop
Trajner per Teknologji - Fushe Kosove,Technology Trainer - Kosovo Field
Praktikate,Practice
Demonstrues i shitjeve,Sales Demonstrator
Shites ne gjera elektrike,Selling electrical items
Praktikante ne Teknik Dentar,Intern in Dental Technician
Estetiste – Manikyr - Pedikyr & Vetulla,Esthetician - Manicure - Pedicure & Eyebrows
Ndihmes ne prodhim dhe paketim - terren,Production and packaging assistant - field
Furnizimi me ushqim me porosi per raste,Supply of food to order for occasions
Mirembajtje / Punetore Ndihmese,Maintenance / Auxiliary Worker
Punetor ndihmes ne shtrimin e qeramikes,Assistant worker in laying ceramics
Punetor ne fabriken e prodhimeve nga druri dhe materialet e drurit,Worker in the factory of wood products and wood materials
sali sylbeka,sali sylbeka
Sherbim ndaj klientit,Customer service
Zyrtar administrative,Administrative officer
MIRMBAJTJA E OBJEKTIT,MAINTENANCE OF THE FACILITY
Kamarier / Shankist,Waiter / Bartender
Mirembajtese e Rrjeteve Sociale & Komunikim,Maintenance of Social Networks & Communication
Asistent Gjeodezie / Teknik Gjeodezie,Geodesy Assistant / Geodesy Technician
Adminstratore e zyres,Office administrator
Punetore - ndihmese,Worker - assistant
Kamariet,The waiters
Terapist per femijet me autizem - Ergoterapeut,Therapist for children with autism - Ergoterapeut
Konsulent,consultant
Shankisti/Baristi,Bartender/Barista
Sallonet e floktarise dhe trajtimet e tjera te bukurise,Hair salons and other beauty treatments
Kameraman/Fotograf/ Montazhier,Cameraman/Photographer/Editor
Psikologe - praktikante,Psychologist - trainee
Faturist - punetor administrativ,Accountant - administrative worker
Agjent i patundshmerise,Real estate agent
ndihms /shankist,help /shankist
SHİTESE,SELLER
Mirmbajtese e raftave,Shelf maintenance
Edukatore per sport - muzike - vallezim,Educator for sports - music - dance
Shitesi,The seller
Qendistare 10,Embroiderer 10
Shofer Valaku,Driver Valaku
Praktikant – Asistent Shitjes,Intern - Sales Assistant
Puntore menaxhmenti,Management office
Asistent i Shitjes – SHOP,Sales Assistant - SHOP
Asistent Logjistik – Depo,Logistics Assistant - Warehouse
TEKNIKE E STOMATOLOGJISE,TECHNIQUE OF DENTISTRY
Edukatore me pervoje pune,Educator with work experience
Qendistare 11,Embroiderer 11
Asistent i shitjes ne dyqan,Sales assistant in the store
MJESHTER,MASTER
Teknike Stomatologjise,Dental Technique
Asistent teknike,Technical assistant
dizajner,designer
NDIHMES MONTER DHE SERVISER,ASSISTED FITTER AND SERVICER
PASTIQERIA MEKA-1,PASTIQUERIA MEKA-1
PASTIUQERIA MEKA-1,PASTIUQERIA MEKA-1
Perfume,Perfume
Puntore ndihmese,Auxiliary worker
Eduktore,Educational
Asisitentet ligjore,Legal assistants
NDIHMS MONTER DHE SERVISER PER SISTEME NGROHJE - FTOHJE DHE VENTILIM,ASSISTANT FITTER AND SERVICER FOR HEATING - COOLING AND VENTILATION SYSTEMS
Referente per telefonata,Call reference
Recepsionist - Teknik i Radiologjise,Receptionist - Radiology Technician
Mesuese klasore,Class teacher
Punetor ne perpunimin e frutave,Fruit processing worker
Digital creator,Digital creator
Marrja dhe dhenia me qira,Taking and renting
Asistent Administrativ dhe Mbeshtetje Online,Administrative Assistant and Online Support
​Cameraman,​Cameraman
Picamene,Picamene
Ndihmse per shtruarjen e dyshemeve Pllaka laminat etj,"Help for laying floors, laminate tiles, etc"
Heimerer2022@#$%,Heimerer2022@#$%
rrobaqepes,dressmaker
Agjent i Shitjese,Sales Agent
Edukatore ne Kopsht,Kindergarten teacher
Ndihmese- Praktikant-e,Assistant - Practitioner
Asistente Ne Zyren Nderkombetare,Assistant in the International Office
Punetore ne Auto Dekor,Worker at Auto Decor
Vello Sh.p.k,Vello Sh.p.k
Punetore praktikante,Trainee worker
Punetor per Teren,Land worker
Mesimedhenese e gjuhes angleze per grupmoshat e reja,Intermediate English language for young age groups
ndihmes per prodhimin e mobiljeve,help for the production of furniture
Arkatare-Sektor,Cashier-Sector
Koordinator za razvoj i upravljanje projektima,Project development and management coordinator
Teknik Farmacise,Pharmacy technician
Arkatare/Keshilltare me klient,Cashier/Counselor with client
Asistente Dentare / Infermiere,Dental Assistant / Nurse
ndihmes mjestri,assistant master
d.p.t meka-1,d.p.t meka-1
Aasistent ne pergatitjen e embelsirave,Assistant in the preparation of sweets
Asistent Profesional,Professional Assistant
Kerkojme Punetore per Shitore te Kepuceve – Forever Shoes / Forever Online KS,We are looking for workers for a shoe store - Forever Shoes / Forever Online KS
Kerkojme Punetore per Shitore te Kepuceve,We are looking for workers for a shoe store
Asistente Dentar,Dental Assistant
Banakier (shankist),Bartender
Asisten-t-e juridik-e,Legal assistant
Mengjer i shitjes,Sales manager
Ndihmes ne Kuzhine,Kitchen helper
Udheheqes Administrativ,Administrative Leader
Staf ne sherbim (Byfe) ne pishinen e brendshme te Kolegji Universum – Ferizaj,Service staff (Buffet) in the indoor swimming pool of Universum College - Ferizaj
Kerkohet Teknik i Farmacise i licencuar,Licensed Pharmacy Technician wanted
Punetore ndihmes,Auxiliary worker
Dispatch,Dispatch
Auto Ngjyroses,Auto Coloring
Pergjegjes per Mirembajtje dhe Siguri Online,Responsible for Online Maintenance and Security
asistente edukatore,educational assistant
Asistent Mesuesi Yoga,Assistant Yoga Teacher
Puntor per montimin e laminatit,Worker for installing laminate
Puntor ne instalime Makinerike,Worker in mechanical installations
Bechelor i Radiologjise,Bachelor of Radiology
Asistente ne Kuzhine ne qendren ne Ferizaj (Fshati Bibaj),Kitchen assistant at the center in Ferizaj (Bibaj village)
Konkurs per poziten: Asistent per Mesimdhenes,Competition for the position: Middle School Assistant
Asistente Stomatologut,Dental Assistant
Zyrtar per Menaxhimin e Garave dhe Sistemeve Elektronike te Notit,Official for the Management of Competitions and Electronic Swimming Systems
Asistente e Shitjes ne Dyqan,Sales Assistant in the Store
Asistente ne Financa dhe Kontabilitet,Assistant in Finance and Accounting
Bashkepunetore e Noterit,Associate of the Notary
Customer Service Agent,Customer Service Agent
Staff Prizren 1,Staff Prizren 1
Mirmbajtja e rrjeteve sociale si Facebook - Instagram - Tiktok - Linkedin. Perdorimi i CHATGPT dhe programeve tjera AI.,Maintenance of social networks such as Facebook - Instagram - Tiktok - Linkedin. Using CHATGPT and other AI programs.
Ndihmese per floke dhe grim,Hair and make-up assistant
Praktikat ne Kontabilitet,Internships in Accounting
Dizajner Arkitekture Enterier,Interior Architectural Designer
Kamariere ose Banakiere,Waitress or Bartender
Teknik i reklamave,Advertising technician
Agjent i Patundshmerise,Real Estate Agent
IM architecture & interior design,IM architecture & interior design
MIREMBAJTES,pipeliner
Rrobaqeps,tailoring
infermiere e licensuar,licensed nurse
ndihmes mjeku,doctor's help
Punetor per shtrimin e laminatit,Laminate laying worker
Praktikant i Eventeve dhe Facilitator,Events Intern and Facilitator
Asistente per fotgrafise,Photography assistant
Puntor prodhimi,Production worker
Kompania jone mirret me ndertimin e ulet te objekteve - dhe na nevoiten punetore,Our company deals with the low construction of buildings - and we need workers
ASISTENTE TE STOMATOLOGJISE,DENTAL ASSISTANTS
Order Fulfillment & Logistics (Permbushje e Porosive dhe Logjistike),Order Fulfillment & Logistics
Teknik instalues,Installation technician
Shperndares malli,Goods distributor
Ekonomist-e,Economist
Ndihmese ne Zyre te Kontabilitetit,Assistant in the Accounting Office
NDIHMES MONTER DHE NDIHMES SHOFER,ASSISTANT ASSEMBLY AND ASSISTANT DRIVER
Administrator-e - teknik-e i pajisjeve dhe sistemeve,Equipment and systems administrator - technician
